,artist_name,track_name,track_id,popularity,artist_id,artists_id,artists_names,year,genre
472,Pierce The Veil,Floral & Fading,3Fnf4J72Y1ImGILcAh1Z2s,61,4iJLPqClelZOBCBifm8Fzv,['4iJLPqClelZOBCBifm8Fzv'],['Pierce The Veil'],2016,modern rock
473,Catfish and the Bottlemen,7,5ykbOijJEfRhuo2Td1m0Qd,70,2xaAOVImG2O6lURwqperlD,['2xaAOVImG2O6lURwqperlD'],['Catfish and the Bottlemen'],2016,modern rock
474,Beartooth,Hated,2NRa4W3rH4e5GKQMN5Qwyr,63,6vwjIs0tbIiseJMR3pqwiL,['6vwjIs0tbIiseJMR3pqwiL'],['Beartooth'],2016,modern rock
475,Panic! At The Disco,"The Good, the Bad and the Dirty",5eoZTdiq4C4aoEfUwAN0ha,62,20JZFwl6HVl6yg8a4H3ZqK,['20JZFwl6HVl6yg8a4H3ZqK'],['Panic! At The Disco'],2016,modern rock
476,HARBOUR,Runaway Kids,204N3xuSdqkTdGm21tUwuN,62,58bPSgeKpyyFlJ9LatULIO,['58bPSgeKpyyFlJ9LatULIO'],['HARBOUR'],2016,modern rock
477,With Confidence,Voldemort,27oxSfW0iib7w0NG4zf9Fp,63,2PWXHVDEtObSmUrNhfPRav,['2PWXHVDEtObSmUrNhfPRav'],['With Confidence'],2016,modern rock
478,Brothers Osborne,21 Summer,483beWfErq5MZAvC0fJ7cr,60,39NR3AUhpbbqKM33vWn2fp,['39NR3AUhpbbqKM33vWn2fp'],['Brothers Osborne'],2016,modern rock
479,Panic! At The Disco,Golden Days,3fwKVZ73y7UUGMyR6rVCRa,62,20JZFwl6HVl6yg8a4H3ZqK,['20JZFwl6HVl6yg8a4H3ZqK'],['Panic! At The Disco'],2016,modern rock
480,The Mowgli's,Alone Sometimes,0ne8iNLplH15M6EtgzPkf0,62,6AGUQK1EWK6nvN4pLIDQDQ,['6AGUQK1EWK6nvN4pLIDQDQ'],"[""The Mowgli's""]",2016,modern rock
481,LOCASH,I Love This Life,21jkhW2773dELgTMRJcMfI,62,5IcGbIAgdns0R5EJKHMjCQ,['5IcGbIAgdns0R5EJKHMjCQ'],['LOCASH'],2016,modern rock
482,KALEO,No Good,0Tr5G2mE56eLUGvCaXRM8I,67,7jdFEYD2LTYjfwxOdlVjmc,['7jdFEYD2LTYjfwxOdlVjmc'],['KALEO'],2016,modern rock
483,Palaye Royale,Mr. Doctor Man,1yIMrzF45Ven2FzPFAr0Gg,65,0hAd6zwEgt9ILuMDY1prcI,['0hAd6zwEgt9ILuMDY1prcI'],['Palaye Royale'],2016,modern rock
484,Whiskey Myers,Frogman,0tZIR4O5WX47JBC1TCcxxY,60,26opZSJcXshCmCwxgZQmBc,['26opZSJcXshCmCwxgZQmBc'],['Whiskey Myers'],2016,modern rock
485,DREAMERS,Painkiller,15BsrefgYpMgu1ZCIr8EJw,62,1FgsVeOhRYuSw2ghkIXV0A,['1FgsVeOhRYuSw2ghkIXV0A'],['DREAMERS'],2016,modern rock
