,artist_name,track_name,track_id,popularity,artist_id,artists_id,artists_names,year,genre
0,Jaymes Young,Infinity,1SOClUWhOi8vHZYMz3GluK,96,6QrQ7OrISRYIfS5mtacaw2,['6QrQ7OrISRYIfS5mtacaw2'],['Jaymes Young'],2017,pop
1,Ruth B.,Dandelions,2eAvDnpXP5W0cVtiI0PUxV,93,2WzaAvm2bBCf4pEhyuDgCY,['2WzaAvm2bBCf4pEhyuDgCY'],['Ruth B.'],2017,pop
2,Chase Atlantic,Swim,3M0lSi5WW79CXQamgSBIjx,89,7cYEt1pqMgXJdq00hAwVpT,['7cYEt1pqMgXJdq00hAwVpT'],['Chase Atlantic'],2017,pop
3,Måneskin,Beggin',3Wrjm47oTz2sjIgck11l5e,92,0lAWpj5szCSwM4rUMHYmrr,['0lAWpj5szCSwM4rUMHYmrr'],['Måneskin'],2017,pop
4,Offset,Ric Flair Drip (with Metro Boomin),7sO5G9EABYOXQKNPNiE9NR,85,4DdkRBBYG6Yk9Ka8tdJ9BW,"['4DdkRBBYG6Yk9Ka8tdJ9BW', '0iEtIxbK0KxaSlF7G42ZOp']","['Offset', 'Metro Boomin']",2017,pop
5,Billie Eilish,Bored,04sN26COy28wTXYj3dMoiZ,88,6qqNVTkY8uBg9cP3Jd7DAH,['6qqNVTkY8uBg9cP3Jd7DAH'],['Billie Eilish'],2017,pop
6,Khalid,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,84,6LuN9FCkKOj5PcnpouEgny,['6LuN9FCkKOj5PcnpouEgny'],['Khalid'],2017,pop
7,Daniel Caesar,Get You (feat. Kali Uchis),7zFXmv6vqI4qOt4yGf3jYZ,84,20wkVLutqVOYrc0kxFs7rA,"['20wkVLutqVOYrc0kxFs7rA', '1U1el3k54VvEUzo3ybLPlM']","['Daniel Caesar', 'Kali Uchis']",2017,pop
8,Cigarettes After Sex,Apocalypse,3AVrVz5rK8Hrqo9YGiVGN5,78,1QAJqy2dA3ihHBFIHRphZj,['1QAJqy2dA3ihHBFIHRphZj'],['Cigarettes After Sex'],2017,pop
9,Rex Orange County,Television / So Far So Good,5OUTFH5acycdnf8OVo21Gv,84,7pbDxGE6nQSZVfiFdq9lOL,['7pbDxGE6nQSZVfiFdq9lOL'],['Rex Orange County'],2017,pop
10,Drake,Passionfruit,5mCPDVBb16L4XQwDdbRUpz,85,3TVXtAsR1Inumwj472S9r4,['3TVXtAsR1Inumwj472S9r4'],['Drake'],2017,pop
11,Frank Ocean,Chanel,6Nle9hKrkL1wQpwNfEkxjh,83,2h93pZq0e7k5yf4dywlkpM,['2h93pZq0e7k5yf4dywlkpM'],['Frank Ocean'],2017,pop
12,Khalid,Location,152lZdxL1OR0ZMW6KquMif,82,6LuN9FCkKOj5PcnpouEgny,['6LuN9FCkKOj5PcnpouEgny'],['Khalid'],2017,pop
13,Rex Orange County,Best Friend,47Bg6IrMed1GPbxRgwH2aC,82,7pbDxGE6nQSZVfiFdq9lOL,['7pbDxGE6nQSZVfiFdq9lOL'],['Rex Orange County'],2017,pop
14,Khalid,8TEEN,5bgwqaRSS3M8WHWruHgSL5,81,6LuN9FCkKOj5PcnpouEgny,['6LuN9FCkKOj5PcnpouEgny'],['Khalid'],2017,pop
