,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.671,0.673,11,-6.941,0,0.0444,0.148,5.29e-05,0.304,0.494,121.963,audio_features,1SOClUWhOi8vHZYMz3GluK,spotify:track:1SOClUWhOi8vHZYMz3GluK,https://api.spotify.com/v1/tracks/1SOClUWhOi8vHZYMz3GluK,https://api.spotify.com/v1/audio-analysis/1SOClUWhOi8vHZYMz3GluK,237720,4
1,0.609,0.692,1,-2.958,1,0.0259,0.0157,0.0,0.0864,0.454,116.959,audio_features,2eAvDnpXP5W0cVtiI0PUxV,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,https://api.spotify.com/v1/tracks/2eAvDnpXP5W0cVtiI0PUxV,https://api.spotify.com/v1/audio-analysis/2eAvDnpXP5W0cVtiI0PUxV,233720,3
2,0.666,0.542,8,-6.429,1,0.0392,0.27,0.0,0.0765,0.0771,120.134,audio_features,3M0lSi5WW79CXQamgSBIjx,spotify:track:3M0lSi5WW79CXQamgSBIjx,https://api.spotify.com/v1/tracks/3M0lSi5WW79CXQamgSBIjx,https://api.spotify.com/v1/audio-analysis/3M0lSi5WW79CXQamgSBIjx,228787,4
3,0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002,audio_features,3Wrjm47oTz2sjIgck11l5e,spotify:track:3Wrjm47oTz2sjIgck11l5e,https://api.spotify.com/v1/tracks/3Wrjm47oTz2sjIgck11l5e,https://api.spotify.com/v1/audio-analysis/3Wrjm47oTz2sjIgck11l5e,211560,4
4,0.88,0.428,9,-8.28,1,0.206,0.149,5.05e-05,0.114,0.333,100.007,audio_features,7sO5G9EABYOXQKNPNiE9NR,spotify:track:7sO5G9EABYOXQKNPNiE9NR,https://api.spotify.com/v1/tracks/7sO5G9EABYOXQKNPNiE9NR,https://api.spotify.com/v1/audio-analysis/7sO5G9EABYOXQKNPNiE9NR,172800,4
5,0.614,0.318,7,-12.695,1,0.0478,0.896,0.00239,0.0795,0.112,119.959,audio_features,04sN26COy28wTXYj3dMoiZ,spotify:track:04sN26COy28wTXYj3dMoiZ,https://api.spotify.com/v1/tracks/04sN26COy28wTXYj3dMoiZ,https://api.spotify.com/v1/audio-analysis/04sN26COy28wTXYj3dMoiZ,180933,4
6,0.799,0.539,1,-6.351,1,0.0421,0.199,1.66e-05,0.165,0.394,136.948,audio_features,5Z3GHaZ6ec9bsiI5BenrbY,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,https://api.spotify.com/v1/tracks/5Z3GHaZ6ec9bsiI5BenrbY,https://api.spotify.com/v1/audio-analysis/5Z3GHaZ6ec9bsiI5BenrbY,202547,4
7,0.658,0.294,4,-8.533,0,0.0321,0.422,5.2e-05,0.0749,0.358,74.038,audio_features,7zFXmv6vqI4qOt4yGf3jYZ,spotify:track:7zFXmv6vqI4qOt4yGf3jYZ,https://api.spotify.com/v1/tracks/7zFXmv6vqI4qOt4yGf3jYZ,https://api.spotify.com/v1/audio-analysis/7zFXmv6vqI4qOt4yGf3jYZ,278180,4
8,0.369,0.467,5,-9.018,1,0.0274,0.0194,0.46,0.109,0.174,94.473,audio_features,3AVrVz5rK8Hrqo9YGiVGN5,spotify:track:3AVrVz5rK8Hrqo9YGiVGN5,https://api.spotify.com/v1/tracks/3AVrVz5rK8Hrqo9YGiVGN5,https://api.spotify.com/v1/audio-analysis/3AVrVz5rK8Hrqo9YGiVGN5,290147,4
9,0.405,0.505,5,-7.75,1,0.0458,0.592,0.0,0.121,0.318,164.971,audio_features,5OUTFH5acycdnf8OVo21Gv,spotify:track:5OUTFH5acycdnf8OVo21Gv,https://api.spotify.com/v1/tracks/5OUTFH5acycdnf8OVo21Gv,https://api.spotify.com/v1/audio-analysis/5OUTFH5acycdnf8OVo21Gv,262600,4
10,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,audio_features,5mCPDVBb16L4XQwDdbRUpz,spotify:track:5mCPDVBb16L4XQwDdbRUpz,https://api.spotify.com/v1/tracks/5mCPDVBb16L4XQwDdbRUpz,https://api.spotify.com/v1/audio-analysis/5mCPDVBb16L4XQwDdbRUpz,298941,4
11,0.776,0.503,0,-5.732,0,0.237,0.874,0.0,0.112,0.473,110.134,audio_features,6Nle9hKrkL1wQpwNfEkxjh,spotify:track:6Nle9hKrkL1wQpwNfEkxjh,https://api.spotify.com/v1/tracks/6Nle9hKrkL1wQpwNfEkxjh,https://api.spotify.com/v1/audio-analysis/6Nle9hKrkL1wQpwNfEkxjh,210285,4
12,0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.326,80.126,audio_features,152lZdxL1OR0ZMW6KquMif,spotify:track:152lZdxL1OR0ZMW6KquMif,https://api.spotify.com/v1/tracks/152lZdxL1OR0ZMW6KquMif,https://api.spotify.com/v1/audio-analysis/152lZdxL1OR0ZMW6KquMif,219080,4
