,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
695,0.708,0.565,11,-5.505,0,0.0465,0.273,0.000316,0.0367,0.837,93.806,audio_features,0DSob5ze3sstCI5FFpCRwj,spotify:track:0DSob5ze3sstCI5FFpCRwj,https://api.spotify.com/v1/tracks/0DSob5ze3sstCI5FFpCRwj,https://api.spotify.com/v1/audio-analysis/0DSob5ze3sstCI5FFpCRwj,289027,4
696,0.483,0.345,2,-14.664,1,0.0321,0.108,0.56,0.144,0.154,95.985,audio_features,2LGG2a9oUGJEwL3gzpbzAd,spotify:track:2LGG2a9oUGJEwL3gzpbzAd,https://api.spotify.com/v1/tracks/2LGG2a9oUGJEwL3gzpbzAd,https://api.spotify.com/v1/audio-analysis/2LGG2a9oUGJEwL3gzpbzAd,246160,4
697,0.451,0.809,0,-11.542,1,0.213,0.48,4.83e-06,0.152,0.776,174.618,audio_features,5NOP3wYr5be1hS7XrZ91HS,spotify:track:5NOP3wYr5be1hS7XrZ91HS,https://api.spotify.com/v1/tracks/5NOP3wYr5be1hS7XrZ91HS,https://api.spotify.com/v1/audio-analysis/5NOP3wYr5be1hS7XrZ91HS,280187,4
698,0.48,0.58,7,-12.498,1,0.106,0.589,0.101,0.346,0.782,176.199,audio_features,1tiHWzoKdkjKx1UwZ5iYQu,spotify:track:1tiHWzoKdkjKx1UwZ5iYQu,https://api.spotify.com/v1/tracks/1tiHWzoKdkjKx1UwZ5iYQu,https://api.spotify.com/v1/audio-analysis/1tiHWzoKdkjKx1UwZ5iYQu,403440,4
699,0.333,0.365,0,-15.594,1,0.0331,0.0875,2.9e-05,0.424,0.501,136.275,audio_features,4nxdNfQzvwUtpNSG4AaWPZ,spotify:track:4nxdNfQzvwUtpNSG4AaWPZ,https://api.spotify.com/v1/tracks/4nxdNfQzvwUtpNSG4AaWPZ,https://api.spotify.com/v1/audio-analysis/4nxdNfQzvwUtpNSG4AaWPZ,315080,4
700,0.156,0.446,7,-11.942,1,0.056,0.0202,0.00475,0.962,0.148,167.426,audio_features,18W1RpWFGPD2wrobPz2SXX,spotify:track:18W1RpWFGPD2wrobPz2SXX,https://api.spotify.com/v1/tracks/18W1RpWFGPD2wrobPz2SXX,https://api.spotify.com/v1/audio-analysis/18W1RpWFGPD2wrobPz2SXX,399587,4
701,0.577,0.536,2,-13.953,1,0.0487,0.0403,0.00369,0.125,0.606,130.786,audio_features,6TlOBDqG7cOrYwTZCJHtVn,spotify:track:6TlOBDqG7cOrYwTZCJHtVn,https://api.spotify.com/v1/tracks/6TlOBDqG7cOrYwTZCJHtVn,https://api.spotify.com/v1/audio-analysis/6TlOBDqG7cOrYwTZCJHtVn,342800,4
702,0.697,0.584,9,-6.204,0,0.0273,0.145,0.0102,0.138,0.705,103.393,audio_features,45SHYNKBPf0ExzyMZ5Vw8n,spotify:track:45SHYNKBPf0ExzyMZ5Vw8n,https://api.spotify.com/v1/tracks/45SHYNKBPf0ExzyMZ5Vw8n,https://api.spotify.com/v1/audio-analysis/45SHYNKBPf0ExzyMZ5Vw8n,240293,4
703,0.266,0.348,10,-11.609,0,0.0371,0.0202,0.664,0.16,0.403,144.154,audio_features,7HEoY8JLuFFckI44suYFna,spotify:track:7HEoY8JLuFFckI44suYFna,https://api.spotify.com/v1/tracks/7HEoY8JLuFFckI44suYFna,https://api.spotify.com/v1/audio-analysis/7HEoY8JLuFFckI44suYFna,349667,4
704,0.619,0.708,4,-6.559,1,0.0333,0.388,1.22e-05,0.17,0.827,124.76,audio_features,2Da1ZaQLX9lMEXpBiJiKHJ,spotify:track:2Da1ZaQLX9lMEXpBiJiKHJ,https://api.spotify.com/v1/tracks/2Da1ZaQLX9lMEXpBiJiKHJ,https://api.spotify.com/v1/audio-analysis/2Da1ZaQLX9lMEXpBiJiKHJ,208960,4
705,0.403,0.809,2,-7.658,1,0.0506,0.18,0.0371,0.799,0.779,91.323,audio_features,2MoEFJIvt1huvOB16ggVVV,spotify:track:2MoEFJIvt1huvOB16ggVVV,https://api.spotify.com/v1/tracks/2MoEFJIvt1huvOB16ggVVV,https://api.spotify.com/v1/audio-analysis/2MoEFJIvt1huvOB16ggVVV,160267,4
706,0.534,0.532,1,-10.922,0,0.0536,0.0253,3.67e-05,0.0855,0.68,132.966,audio_features,6VvC0CkBmCy1XG9MOyqUIk,spotify:track:6VvC0CkBmCy1XG9MOyqUIk,https://api.spotify.com/v1/tracks/6VvC0CkBmCy1XG9MOyqUIk,https://api.spotify.com/v1/audio-analysis/6VvC0CkBmCy1XG9MOyqUIk,189693,4
707,0.448,0.367,7,-16.487,1,0.0683,0.518,0.000278,0.951,0.253,91.911,audio_features,4U3jBsqRSepwtuxDXnUadz,spotify:track:4U3jBsqRSepwtuxDXnUadz,https://api.spotify.com/v1/tracks/4U3jBsqRSepwtuxDXnUadz,https://api.spotify.com/v1/audio-analysis/4U3jBsqRSepwtuxDXnUadz,343320,4
708,0.657,0.651,7,-9.207,1,0.0532,0.0781,0.00183,0.103,0.682,97.147,audio_features,3e2NyLZ7e0HswztHJ9WDyl,spotify:track:3e2NyLZ7e0HswztHJ9WDyl,https://api.spotify.com/v1/tracks/3e2NyLZ7e0HswztHJ9WDyl,https://api.spotify.com/v1/audio-analysis/3e2NyLZ7e0HswztHJ9WDyl,265320,4
709,0.341,0.383,2,-15.45,1,0.0302,0.0796,0.0186,0.051,0.531,153.738,audio_features,3ik04NtSKo6ARaXGKoSAMe,spotify:track:3ik04NtSKo6ARaXGKoSAMe,https://api.spotify.com/v1/tracks/3ik04NtSKo6ARaXGKoSAMe,https://api.spotify.com/v1/audio-analysis/3ik04NtSKo6ARaXGKoSAMe,276653,3
710,0.734,0.702,10,-6.788,1,0.0402,0.241,2.42e-05,0.327,0.886,119.925,audio_features,14iyTaamg3NLCgslBz5GNt,spotify:track:14iyTaamg3NLCgslBz5GNt,https://api.spotify.com/v1/tracks/14iyTaamg3NLCgslBz5GNt,https://api.spotify.com/v1/audio-analysis/14iyTaamg3NLCgslBz5GNt,242613,4
